ADM1_EN,ADM2_TH,ADM1_Pcode,TOTAL
AMNAT CHAROEN,อำนาจเจริญ,TH37,203893.0
ANG THONG,อ่างทอง,TH15,216643.0
BUENG KAN,บึงกาฬ,TH38,306619.0
BURI RAM,บุรีรัมย์,TH31,985709.0
CHACHOENGSAO,ฉะเชิงเทรา,TH24,738516.0
CHAI NAT,ชัยนาท,TH18,234108.0
CHAIYAPHUM,ชัยภูมิ,TH36,764624.0
CHANTHABURI,จันทบุรี,TH22,442591.0
CHIANG MAI,เชียงใหม่,TH50,1809819.0
CHIANG RAI,เชียงราย,TH57,1089821.0
CHON BURI,ชลบุรี,TH20,2147385.0
CHUMPHON,ชุมพร,TH86,441213.0
KALASIN,กาฬสินธุ์,TH46,664356.0
KAMPHAENG PHET,กำแพงเพชร,TH62,842777.0
KANCHANABURI,กาญจนบุรี,TH71,778936.0
KHON KAEN,ขอนแก่น,TH40,1630099.0
KRABI,กระบี่,TH81,347995.0
KRUNG THEP MAHA NAKHON,กรุงเทพมหานคร,TH10,10709136.0
LAMPANG,ลำปาง,TH52,632799.0
LAMPHUN,ลำพูน,TH51,377527.0
LOEI,เลย,TH42,446635.0
LOP BURI,ลพบุรี,TH16,718935.0
MAE HONG SON,แม่ฮ่องสอน,TH58,187041.0
MAHA SARAKHAM,มหาสารคาม,TH44,655502.0
MUKDAHAN,มุกดาหาร,TH49,365780.0
NAKHON NAYOK,นครนายก,TH26,227464.0
NAKHON PATHOM,นครปฐม,TH73,1028904.0
NAKHON PHANOM,นครพนม,TH48,449625.0
NAKHON RATCHASIMA,นครราชสีมา,TH30,2368321.0
NAKHON SAWAN,นครสวรรค์,TH60,826586.0
NAKHON SI THAMMARAT,นครศรีธรรมราช,TH80,1260910.0
NAN,น่าน,TH55,402916.0
NARATHIWAT,นราธิวาส,TH96,610304.0
NONG BUA LAMPHU,หนองบัวลำภู,TH39,438010.0
NONG KHAI,หนองคาย,TH43,379636.0
NONTHABURI,นนทบุรี,TH12,1940476.0
PATHUM THANI,ปทุมธานี,TH13,2352209.0
PATTANI,ปัตตานี,TH94,557875.0
PHANGNGA,พังงา,TH82,254114.0
PHATTHALUNG,พัทลุง,TH93,419456.0
PHAYAO,พะเยา,TH56,313682.0
PHETCHABUN,เพชรบูรณ์,TH67,821626.0
PHETCHABURI,เพชรบุรี,TH76,456851.0
PHICHIT,พิจิตร,TH66,475920.0
PHITSANULOK,พิษณุโลก,TH65,938009.0
PHRA NAKHON SI AYUTTHAYA,พระนครศรีอยุธยา,TH14,998279.0
PHRAE,แพร่,TH54,335189.0
PHUKET,ภูเก็ต,TH83,962681.0
PRACHIN BURI,ปราจีนบุรี,TH25,669420.0
PRACHUAP KHIRI KHAN,ประจวบคีรีขันธ์,TH77,454323.0
RANONG,ระนอง,TH85,340692.0
RATCHABURI,ราชบุรี,TH70,721366.0
RAYONG,ระยอง,TH21,1188389.0
ROI ET,ร้อยเอ็ด,TH45,848096.0
SA KAEO,สระแก้ว,TH27,565874.0
SAKON NAKHON,สกลนคร,TH47,768297.0
SAMUT PRAKAN,สมุทรปราการ,TH11,2968727.0
SAMUT SAKHON,สมุทรสาคร,TH74,1580413.0
SAMUT SONGKHRAM,สมุทรสงคราม,TH75,152998.0
SARABURI,สระบุรี,TH19,802049.0
SATUN,สตูล,TH91,270993.0
SI SA KET,ศรีสะเกษ,TH33,723648.0
SING BURI,สิงห์บุรี,TH17,155156.0
SONGKHLA,สงขลา,TH90,1574431.0
SUKHOTHAI,สุโขทัย,TH64,596662.0
SUPHAN BURI,สุพรรณบุรี,TH72,748248.0
SURAT THANI,สุราษฎร์ธานี,TH84,1051922.0
SURIN,สุรินทร์,TH32,860410.0
TAK,ตาก,TH63,510728.0
TRANG,ตรัง,TH92,540949.0
TRAT,ตราด,TH23,264085.0
UBON RATCHATHANI,อุบลราชธานี,TH34,1614923.0
UDON THANI,อุดรธานี,TH41,1020066.0
UTHAI THANI,อุทัยธานี,TH61,260998.0
UTTARADIT,อุตรดิตถ์,TH53,371390.0
YALA,ยะลา,TH95,409580.0
YASOTHON,ยโสธร,TH35,385065.0
